Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
EUR 305000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,12.24,4.1,GRP,Italy,80
EUR 305000,Motor Yacht,Nimbus power boats,"Used boat,Diesel",2012,13.2,3.9,PVC,France,116
CHF 329500,Hardtop,Sealine power boats,"Used boat,Diesel",2019,10.31,3.5,GRP,Switzerland,622
EUR 304640,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",0,11.7,3.75,GRP,Germany,88
EUR 319000,Hardtop,Pershing power boats,"Used boat,Diesel",2008,15.23,4.38,GRP,Italy,125
EUR 319000,Motor Yacht,Elegance power boats,"Used boat,Diesel",2006,16.4,4.8,GRP,Spain,26
EUR 319000,Trawler,Euroship power boats,Used boat,2009,13.85,4.46,Steel,Netherlands,58
EUR 319000,Hardtop,Bavaria power boats,Used boat,2018,11.61,3.99,,Italy,73
Â£ 289950,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,10.97,3.96,PVC,United,39
Â£ 289950,Flybridge,Jeanneau power boats,"new boat from stock,Diesel",2019,11.4,3.84,PVC,United,28
EUR 318000,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,10.4,3.72,PVC,France,145
EUR 317849,Motor Yacht,Jeanneau power boats,"new boat from stock,Unleaded",0,12.33,3.8,GRP,Germany,46
EUR 317849,Motor Yacht,Jeanneau power boats,new boat on order,2020,12.33,3.8,GRP,Germany,29
EUR 317611,Motor Yacht,Greenline power boats,"new boat from stock,Diesel",0,11.99,3.75,GRP,Germany,115
EUR 317500,House Boat,Pedro power boats,new boat from stock,0,12.5,4.5,Steel,Netherlands,79
EUR 316417,Flybridge,Jeanneau power boats,"Used boat,Diesel",2016,11.43,3.84,PVC,Belgium,80
EUR 315665,Bowrider,Frauscher power boats,"new boat from stock,Unleaded",2020,9.99,2.99,GRP,Switzerland,177
EUR 326000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,11.29,4.03,PVC,France,34
EUR 325000,Motor Yacht,Greenline power boats,"new boat from stock,Hybrid",2019,12.0,3.75,GRP,Switzerland,384
EUR 325000,Trawler,Pikmeerkruiser power boats,Used boat,2015,12.9,4.05,Steel,Netherlands,56
EUR 325000,Trawler,Linssen power boats,Used boat,2001,13.72,4.3,GRP,Netherlands,132
EUR 325000,Motor Yacht,Riva power boats,"Used boat,Diesel",2004,13.44,3.88,,Spain,274
EUR 325000,Motor Yacht,Fairline power boats,Used boat,2005,15.61,4.27,GRP,Spain,45
EUR 325000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2000,17.37,4.6,GRP,,47
EUR 325000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2006,16.0,4.6,,Portugal,65
EUR 325000,Motor Yacht,Princess power boats,"Used boat,Diesel",2012,14.35,3.99,GRP,Croatia,68
EUR 325000,Hardtop,BÃ©nÃ©teau power boats,Used boat,2015,13.15,3.96,,Italy,69
EUR 325000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,17.07,4.6,GRP,Spain,54
EUR 325000,Hardtop,Sunseeker power boats,"Used boat,Diesel",1997,24.35,6.0,GRP,Italy,150
EUR 325000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,17.1,4.6,GRP,France,44
EUR 325000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,17.35,4.6,,France,218
EUR 325000,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2013,13.41,3.96,,Malta,83
EUR 325000,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2013,13.41,3.96,,Malta,50
DKK 2502188,Hardtop,Greenline power boats,new boat from stock,2020,11.99,3.75,GRP,Denmark,71
DKK 2500000,Flybridge,Storebro power boats,Used boat,2004,14.2,4.25,GRP,Denmark,147
EUR 335000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,14.54,4.55,,Italy,35
EUR 335000,Motor Yacht,Sessa power boats,"Used boat,Diesel",2010,14.0,4.28,,Italy,50
EUR 335000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,14.0,4.29,GRP,Portugal,129
EUR 335000,Motor Yacht,,"Used boat,Diesel",2003,19.6,5.25,GRP,Italy,51
EUR 335000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,15.54,4.3,GRP,Portugal,125
EUR 335000,Trawler,,"Used boat,Diesel",2008,14.9,4.5,Steel,Croatia,107
EUR 335000,Hardtop,Apreamare power boats,"Used boat,Diesel",2007,14.7,4.7,GRP,Italy,41
EUR 335000,Flybridge,Baikal power boats,"new boat on order,Diesel",2021,14.5,4.6,,Germany,209
EUR 335000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2019,11.43,3.8,PVC,France,63
EUR 335000,Motor Yacht,,Used boat,1995,21.0,4.8,Steel,Netherlands,30
CHF 361933,Cabin Boat,Windy power boats,"new boat from stock,Diesel",0,9.48,2.97,GRP,Switzerland,109
EUR 331296,Flybridge,Jeanneau power boats,"new boat on order,Diesel",2020,11.43,3.84,GRP,Germany,36
EUR 331296,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",0,11.43,3.84,GRP,Germany,45
EUR 330000,Hardtop,Fairline power boats,"Used boat,Diesel",2006,18.88,4.75,GRP,Croatia,120
EUR 349000,Motor Yacht,Admiral power boats,"Used boat,Diesel",1975,27.0,6.71,,Turkey,210
EUR 348000,Motor Yacht,Fiart Mare power boats,"new boat on order,Diesel",2020,10.89,3.54,PVC,France,65
EUR 347650,Motor Yacht,Frauscher power boats,"new boat from stock,Unleaded",0,9.99,2.99,GRP,Switzerland,185
EUR 345100,Motor Yacht,Horizon Yacht power boats,"Used boat,Diesel",1998,19.5,5.5,,Russian,59
EUR 345000,Flybridge,,"Used boat,Diesel",2006,15.11,4.85,GRP,Italy,77
EUR 345000,Motor Yacht,Apreamare power boats,"Used boat,Diesel",2006,16.5,5.08,GRP,Croatia,69
EUR 345000,Motor Yacht,AICON Yachts power boats,"Used boat,Diesel",2008,17.4,4.8,GRP,Italy,43
EUR 345000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2003,19.51,1.4,GRP,Greece,69
EUR 345000,Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1997,19.8,4.8,GRP,Spain,84
EUR 345000,Motor Yacht,,"Used boat,Diesel",2005,14.99,4.65,Steel,Netherlands,79
EUR 345000,Flybridge,Hatteras power boats,"Used boat,Diesel",2001,18.95,5.28,GRP,Italy,44
EUR 345000,Flybridge,Viking power boats,"Used boat,Diesel",2008,15.12,4.36,PVC,Cyprus,49
EUR 345000,Flybridge,Raffaelli power boats,"Used boat,Diesel",1997,22.8,5.45,GRP,Italy,149
EUR 342500,Trawler,Pedro power boats,"new boat from stock,Diesel",0,11.88,4.05,Steel,Netherlands,95
EUR 341000,Motor Yacht,Sessa power boats,Used boat,2008,14.89,4.28,,Croatia,144
EUR 340500,Sport Boat,Invictus power boats,new boat on order,2020,11.4,3.5,GRP,Switzerland,162
EUR 350000,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,11.29,3.96,PVC,France,28
EUR 350000,Trawler,Hagenah power boats,"Used boat,Diesel",2010,14.99,4.9,,Germany,110
EUR 350000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,13.88,4.25,GRP,Croatia,70
EUR 350000,Motor Yacht,,"Used boat,Diesel",2002,17.75,4.93,GRP,Croatia,102
EUR 350000,Motor Yacht,Absolute power boats,"Used boat,Diesel",2008,16.4,4.65,,Italy,78
EUR 350000,Motor Yacht,de Ruiter power boats,"Used boat,Diesel",1976,19.25,5.26,,Italy,131
EUR 350000,Hardtop,Pershing power boats,Used boat,2005,15.23,4.38,,Italy,171
EUR 350000,Hardtop,Sunseeker power boats,"Used boat,Diesel",1997,23.98,5.95,GRP,Italy,62
EUR 350000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,20.46,5.21,GRP,Italy,42
EUR 350000,Motor Yacht,Sunseeker power boats,Used boat,1997,24.9,6.09,,Italy,102
EUR 350000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1997,29.87,5.79,,Italy,155
EUR 350000,Flybridge,Astondoa power boats,"Used boat,Diesel",1995,20.0,5.0,PVC,Spain,118
EUR 350000,Flybridge,Cantieri Estensi power boats,"Used boat,Diesel",2007,14.5,4.4,GRP,Italy,123
EUR 350000,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2018,13.29,3.99,GRP,Germany,276
EUR 350000,Hardtop,Fairline power boats,"Used boat,Diesel",2005,15.7,4.22,GRP,Spain,67
EUR 349900,Motor Yacht,Sealine power boats,"Used boat,Diesel",2008,14.9,4.61,GRP,Croatia,35
EUR 360000,Motor Yacht,Marquis power boats,"Used boat,Diesel",2008,12.49,4.2,,Turkey,53
EUR 360000,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2017,11.0,5.1,PVC,France,85
EUR 360000,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,11.95,3.85,,France,47
EUR 360000,"Classic,Flybridge",Alalunga power boats,"Used boat,Diesel",1976,22.0,5.98,Wood,Italy,97
EUR 360000,Motor Yacht,,"Used boat,Diesel",1993,23.0,5.6,,Italy,164
EUR 359900,Motor Yacht,Princess power boats,"Used boat,Diesel",2004,18.2,4.6,GRP,Croatia,47
Â£ 328000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2008,16.15,4.6,GRP,Spain,65
EUR 359500,Trawler,,"Used boat,Diesel",2008,16.9,4.75,Steel,Netherlands,55
EUR 359000,Trawler,,Used boat,2006,14.4,4.24,Steel,Netherlands,37
EUR 359000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2013,15.2,4.5,PVC,Croatia,56
EUR 359000,House Boat,Overblue power boats,Used boat,2016,13.5,4.2,GRP,Croatia,104
EUR 359000,Hardtop,Fairline power boats,"Used boat,Diesel",2005,18.88,4.75,GRP,Denmark,80
EUR 359000,Center console boat,Wellcraft power boats,"new boat from stock,Unleaded",2020,10.76,3.25,PVC,France,54
EUR 359000,Trawler,Integrity power boats,"new boat from stock,Diesel",2020,11.7,4.11,GRP,Germany,36
EUR 359000,Trawler,,"Used boat,Diesel",1999,14.35,4.5,GRP,Germany,52
EUR 374500,Motor Yacht,Regal power boats,"Used boat,Unleaded",2018,11.23,3.45,GRP,Germany,204
EUR 373900,Flybridge,Jeanneau power boats,new boat from stock,0,13.7,4.13,,Netherlands,50
EUR 373900,Flybridge,Jeanneau power boats,new boat from stock,0,13.7,4.13,,Netherlands,63
EUR 373350,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,10.31,3.25,GRP,Austria,146
EUR 372900,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,11.47,3.59,GRP,Germany,29
Â£ 339000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2013,12.19,3.9,GRP,Portugal,50
Â£ 339000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2013,12.9,3.87,,Portugal,199
EUR 371821,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2019,12.0,3.0,,Spain,69
EUR 370000,Flybridge,,"Used boat,Diesel",2005,15.19,4.89,,Italy,35
EUR 370000,Flybridge,Dominator power boats,"Used boat,Diesel",2003,19.2,5.18,GRP,Croatia,47
EUR 370000,Motor Yacht,,"Used boat,Diesel",1961,23.75,6.18,Steel,Croatia,93
EUR 370000,Hardtop,Bavaria power boats,"Used boat,Diesel",2018,12.65,3.0,,Italy,73
EUR 370000,Motor Yacht,Atlantis power boats,"Used boat,Diesel",2009,16.73,4.54,GRP,Greece,90
EUR 370000,Flybridge,Bavaria power boats,"Used boat,Diesel",2013,13.61,1.12,GRP,,84
EUR 370000,Flybridge,Galeon power boats,"Used boat,Diesel",2007,16.8,4.7,GRP,Italy,114
EUR 385000,Flybridge,Sealine power boats,Used boat,2008,15.8,4.52,GRP,Netherlands,59
EUR 385000,Hardtop,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,12.67,3.87,PVC,Spain,71
EUR 385000,Trawler,,"Used boat,Diesel",2007,16.9,4.75,Steel,Netherlands,70
EUR 380741,Motor Yacht,Sealine power boats,"new boat from stock,Diesel",2020,11.99,3.85,GRP,Germany,68
EUR 380000,Hardtop,Sessa power boats,"new boat from stock,Diesel",2020,13.2,3.9,GRP,Italy,122
EUR 380000,Flybridge,Ferretti power boats,"Used boat,Diesel",2000,18.65,5.25,,Italy,116
EUR 380000,Hardtop,Apreamare power boats,Used boat,2004,16.2,5.6,GRP,Italy,71
EUR 380000,Flybridge,Posillipo power boats,"Used boat,Diesel",1996,20.2,5.5,GRP,Italy,38
EUR 380000,Motor Yacht,De Vries power boats,"Used boat,Diesel",1990,20.0,5.6,Aluminium,Germany,93
EUR 380000,Motor Yacht,Riva power boats,"Used boat,Diesel",2007,10.07,2.8,GRP,Germany,160
EUR 380000,Flybridge,Fairline power boats,"Used boat,Diesel",2003,18.44,4.91,GRP,Croatia,61
EUR 380000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2016,13.86,4.25,,Italy,137
EUR 380000,Flybridge,Dellapasqua power boats,"Used boat,Diesel",2009,17.98,4.95,GRP,Italy,113
EUR 380000,Motor Yacht,Aquanaut power boats,"Used boat,Diesel",2008,16.5,4.55,Steel,Netherlands,91
EUR 379500,Motor Yacht,Majesty Yachts power boats,"Used boat,Diesel",2010,17.3,4.9,,Spain,117
Â£ 357000,Hardtop,Sunseeker power boats,"Used boat,Diesel",2007,16.15,4.6,GRP,Italy,50
EUR 390930,Cabin Boat,Sea Ray power boats,"new boat on order,Unleaded",2021,9.86,3.25,GRP,Germany,316
EUR 390000,Cabin Boat,,"Used boat,Diesel",1966,18.0,4.36,Steel,Croatia,47
EUR 390000,Motor Yacht,Riva power boats,"Used boat,Diesel",2002,13.4,3.88,,Italy,312
EUR 390000,Hardtop,AICON Yachts power boats,"Used boat,Diesel",2010,20.11,5.08,GRP,Spain,102
EUR 390000,Hardtop,Cantieri Estensi power boats,"Used boat,Diesel",2006,16.65,5.0,,Italy,20
EUR 390000,Motor Yacht,Ferretti power boats,"Used boat,Diesel",2004,17.37,4.93,,Italy,146
EUR 390000,Flybridge,Ferretti power boats,"Used boat,Diesel",2000,18.77,5.25,,Italy,50
EUR 390000,Hardtop,Jeanneau power boats,"Used boat,Diesel",2020,11.9,3.59,,France,70
EUR 390000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,16.7,4.5,GRP,Spain,58
EUR 390000,Motor Yacht,Dalla Pieta power boats,"Used boat,Diesel",2000,20.0,5.0,GRP,Croatia,72
EUR 390000,Flybridge,Cayman power boats,"Used boat,Diesel",2008,15.0,4.5,GRP,Italy,59
EUR 390000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2003,17.51,4.75,GRP,Italy,70
CHF 421450,Motor Yacht,Salpa power boats,new boat from stock,2019,11.95,3.85,GRP,Switzerland,198
CHF 418000,Motor Yacht,Princess power boats,"Used boat,Diesel",2017,12.95,3.78,,Croatia,317
EUR 389500,Sport Boat,Frauscher power boats,"new boat from stock,Unleaded",2020,10.17,2.98,GRP,Switzerland,425
EUR 399000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17.02,4.63,GRP,Croatia,153
EUR 399000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1997,17.4,4.7,GRP,Croatia,188
EUR 399000,Motor Yacht,Princess power boats,"Used boat,Diesel",2007,16.36,4.47,GRP,Croatia,81
EUR 399000,Motor Yacht,Alfamarine power boats,"Used boat,Diesel",2002,18.96,4.6,,Spain,100
EUR 399000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17.6,4.42,GRP,Croatia,35
EUR 399000,Flybridge,Princess power boats,"Used boat,Diesel",2009,15.37,4.57,,Italy,135
EUR 399000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2012,15.6,4.5,PVC,France,61
EUR 399000,Trawler,Linssen power boats,"Used boat,Diesel",2006,14.65,4.47,Steel,Slovenia,95
EUR 399000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2005,17.0,4.0,GRP,Croatia,70
EUR 399000,Trawler,Linssen power boats,"Used boat,Diesel",2006,14.0,4.0,Steel,Slovenia,84
EUR 399000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,14.3,4.1,GRP,Netherlands,70
EUR 399000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,14.3,4.1,GRP,Netherlands,221
EUR 399000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2017,13.86,4.25,GRP,Croatia,122
EUR 399000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2020,13.43,4.2,PVC,Sweden,72
EUR 399000,House Boat,,new boat from stock,2020,11.2,3.45,GRP,Germany,67
EUR 399000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2014,13.96,4.25,PVC,France,87
EUR 415000,Motor Yacht,Ferretti power boats,"Used boat,Unleaded",2000,19.5,5.1,GRP,Greece,42
EUR 415000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2011,13.78,4.3,GRP,Croatia,41
EUR 415000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2017,12.64,3.97,PVC,France,29
EUR 415000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2018,13.88,4.25,PVC,France,87
EUR 415000,Motor Yacht,Elling power boats,Used boat,2011,14.95,4.25,GRP,Netherlands,67
EUR 415000,Flybridge,Galeon power boats,"Used boat,Diesel",2015,13.25,4.16,,waren,258
EUR 415000,Motor Yacht,Galeon power boats,Used boat,2015,13.25,4.16,,Germany,159
Â£ 375000,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2019,14.81,4.18,GRP,United,127
EUR 410000,Flybridge,Cayman power boats,"Used boat,Diesel",2007,18.6,5.07,GRP,Italy,58
EUR 410000,Cabin Boat,Nimbus power boats,"new boat on order,Diesel",2020,10.87,3.4,GRP,Sweden,267
EUR 410000,Trawler,Grand Banks power boats,"Used boat,Diesel",2005,14.02,4.5,GRP,France,122
EUR 410000,Flybridge,Princess power boats,"Used boat,Diesel",2007,16.1,4.57,,Croatia,94
EUR 409500,Trawler,Pedro power boats,"new boat from stock,Diesel",0,13.4,4.3,Steel,Netherlands,122
EUR 409000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.1,4.32,PVC,France,67
EUR 409000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,15.1,4.32,PVC,France,54
EUR 430000,Flybridge,Azimut power boats,"Used boat,Diesel",2008,17.48,4.8,GRP,Italy,52
EUR 430000,Motor Yacht,BÃ©nÃ©teau power boats,Used boat,2017,14.78,4.2,,Malta,38
EUR 430000,Flybridge,Princess power boats,"Used boat,Diesel",2008,17.85,4.8,GRP,Croatia,74
EUR 430000,Hardtop,Nimbus power boats,"new boat on order,Diesel",2020,11.33,3.4,GRP,Germany,279
EUR 430000,Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2017,13.93,4.1,GRP,Germany,301
EUR 429111,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",2021,11.5,3.75,GRP,Switzerland,209
EUR 429000,Catamaran,Fountaine Pajot power boats,"Display Model,Diesel",2018,11.0,5.1,GRP,Spain,88
EUR 429000,Hardtop,Bavaria power boats,"Used boat,Diesel",2016,13.22,4.41,GRP,Croatia,105
EUR 429000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.31,GRP,Spain,74
EUR 429000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.96,4.3,GRP,Spain,100
EUR 429000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2015,13.0,4.0,PVC,Spain,53
EUR 429000,Motor Yacht,Brabus power boats,"new boat from stock,Unleaded",2019,11.73,3.35,GRP,Germany,325
EUR 429000,Hardtop,Sunseeker power boats,Used boat,2007,16.32,4.57,GRP,Italy,78
EUR 429000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2014,15.2,4.5,PVC,France,71
EUR 429000,Flybridge,Azimut power boats,"Used boat,Diesel",2005,19.25,5.06,GRP,Croatia,73
EUR 428400,Motor Yacht,,"Used boat,Diesel",2004,20.5,5.1,,Italy,69
EUR 449000,Flybridge,Jeanneau power boats,"Used boat,Diesel",2014,12.52,4.25,GRP,France,95
EUR 449000,Motor Yacht,,Diesel,2003,20.8,5.5,,Croatia,69
EUR 448000,Hardtop,Princess power boats,"Used boat,Diesel",2007,16.12,4.47,GRP,Italy,72
EUR 446760,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.25,PVC,France,80
EUR 446760,Trawler,BÃ©nÃ©teau power boats,"new boat from stock,Diesel",2020,13.43,4.25,PVC,France,68
EUR 445600,Flybridge,Galeon power boats,"new boat from stock,Diesel",0,12.5,4.16,GRP,Germany,97
EUR 445000,Fishing Boat,Cabo power boats,"Used boat,Diesel",2007,14.67,4.82,GRP,Italy,77
EUR 445000,Flybridge,Seaway power boats,"Used boat,Diesel",2005,16.0,4.0,GRP,Croatia,77
EUR 445000,Motor Yacht,Skagen power boats,Used boat,2010,16.3,4.75,,Croatia,39
EUR 445000,Motor Yacht,,"Used boat,Diesel",1958,22.0,5.0,Steel,Netherlands,138
EUR 445000,Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2007,13.95,6.55,GRP,France,83
EUR 445000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,17.0,4.0,GRP,Croatia,98
EUR 444822,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",0,13.93,4.1,GRP,Germany,65
CHF 480000,"Classic,Runabout",Pedrazzini power boats,"Used boat,Unleaded",2008,10.3,2.98,Wood,Switzerland,422
DKK 3299000,Motor Yacht,Marex power boats,"Used boat,Diesel",2020,11.49,3.49,GRP,Denmark,154
EUR 441666,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2015,15.1,4.27,PVC,France,53
CHF 495000,Hardtop,Marex power boats,new boat from stock,2019,11.49,3.49,GRP,Switzerland,271
EUR 457198,Pilothouse,Jeanneau power boats,"new boat on order,Diesel",2020,14.3,4.1,GRP,Germany,70
EUR 457198,Motor Yacht,Jeanneau power boats,"new boat on order,Diesel",2020,14.3,4.1,GRP,Germany,44
EUR 457198,Motor Yacht,Jeanneau power boats,"new boat from stock,Diesel",0,14.3,4.1,GRP,Germany,92
EUR 456796,Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,13.93,4.1,PVC,France,50
EUR 455000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,17.65,4.63,GRP,Turkey,30
DKK 3381900,Flybridge,Bavaria power boats,new boat from stock,2020,13.6,4.21,,Denmark,145
DKK 3371900,Flybridge,Bavaria power boats,new boat from stock,2020,12.65,3.99,,Denmark,180
EUR 453000,Trawler,Super Lauwersmeer power boats,Used boat,2017,14.2,4.36,Steel,Netherlands,136
EUR 452400,Flybridge,Fairline power boats,"Used boat,Diesel",2008,16.6,4.6,,Montenegro,61
EUR 452200,Motor Yacht,Sessa power boats,"new boat from stock,Diesel",0,13.1,3.9,GRP,Germany,61
EUR 450000,Trawler,Doggersbank power boats,"Used boat,Diesel",1990,19.0,5.0,Steel,Netherlands,36
EUR 450000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",1997,21.5,5.6,GRP,Italy,52
EUR 450000,Deck Boat,Apreamare power boats,Used boat,2006,16.2,5.62,,Italy,140
EUR 475000,Trawler,Pedro power boats,"new boat from stock,Diesel",0,12.95,4.4,Steel,Netherlands,159
EUR 475000,Motor Yacht,Dominator power boats,"Used boat,Diesel",2002,20.0,5.0,GRP,Croatia,81
EUR 475000,Trawler,van der Heijden power boats,Used boat,2009,18.0,5.3,Steel,Netherlands,107
EUR 475000,Motor Yacht,Leopard power boats,"Used boat,Diesel",2006,24.08,6.04,GRP,France,87
EUR 475000,Motor Yacht,Wim van der Valk power boats,"Used boat,Diesel",2009,17.0,4.6,Steel,Netherlands,139
EUR 475000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2002,20.27,5.21,Carbon Fiber,Spain,183
EUR 475000,Flybridge,Pearl power boats,"Used boat,Diesel",2006,17.8,4.98,,Germany,66
EUR 475000,Flybridge,Azimut power boats,"Used boat,Diesel",2006,19.2,5.05,GRP,Croatia,34
EUR 475000,Hardtop,Bavaria power boats,"Used boat,Diesel",2019,13.6,4.21,,Italy,120
EUR 475000,Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,14.78,4.15,PVC,France,126
EUR 475000,Motor Yacht,Linssen power boats,"Used boat,Diesel",2015,13.25,4.35,Steel,Netherlands,128
EUR 473304,Sport Boat,Cranchi power boats,"new boat from stock,Diesel",2020,11.7,3.53,GRP,Italy,228
EUR 473000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2013,14.99,4.5,GRP,Spain,110
EUR 473000,Hardtop,Sealine power boats,"Display Model,Diesel",2020,12.0,3.85,GRP,Germany,140
EUR 472500,Flybridge,Menorquin power boats,"new boat from stock,Diesel",2019,13.2,4.0,,Spain,66
EUR 490000,Motor Yacht,Overmarine power boats,Used boat,1999,21.56,5.56,,France,249
EUR 490000,Motor Yacht,Marquis power boats,"Used boat,Diesel",2008,15.09,4.88,GRP,Croatia,45
EUR 490000,Flybridge,,"Used boat,Diesel",2001,21.09,5.7,GRP,Italy,58
EUR 490000,Hardtop,Azimut power boats,"Used boat,Diesel",2005,21.14,5.07,GRP,Spain,103
EUR 490000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,20.06,5.45,GRP,Spain,179
EUR 490000,Mega Yacht,,Used boat,1964,50.0,6.6,Steel,Belgium,107
EUR 490000,Flybridge,Dalla Pieta power boats,"Used boat,Diesel",2001,21.09,5.7,GRP,Croatia,84
EUR 490000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,14.99,4.65,PVC,France,58
EUR 490000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,14.99,4.65,PVC,France,169
EUR 490000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2009,19.51,4.75,GRP,Italy,75
EUR 490000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2014,15.1,4.32,PVC,France,56
EUR 490000,Hardtop,Rizzardi power boats,"Used boat,Diesel",2004,21.75,5.6,,Italy,81
EUR 490000,Hardtop,,"Used boat,Diesel",2007,16.7,4.72,GRP,Italy,81
EUR 489900,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,15.75,4.29,GRP,United,153
EUR 489000,Motor Yacht,Princess power boats,Used boat,2007,18.19,4.62,,Croatia,35
Â£ 455000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2007,18.29,5.0,GRP,France,62
Â£ 455000,Motor Yacht,Princess power boats,"Used boat,Diesel",2012,14.72,4.35,GRP,Spain,154
EUR 499000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2006,18.4,4.9,GRP,Croatia,39
EUR 499000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2014,15.0,4.32,GRP,Croatia,96
EUR 499000,Flybridge,Princess power boats,"Used boat,Diesel",2008,19.2,4.88,GRP,Croatia,86
EUR 499000,Motor Yacht,Astondoa power boats,"Used boat,Diesel",2000,21.8,5.4,,Spain,55
EUR 499000,Flybridge,Dominator power boats,"Used boat,Diesel",2006,19.51,5.18,GRP,Croatia,43
EUR 499000,Motor Yacht,Elegance power boats,"Used boat,Diesel",2008,16.4,4.8,GRP,Croatia,37
EUR 499000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2015,15.2,4.47,PVC,France,49
